ObjInstance,Identifier,MethodName,ElapsedMilliseconds,Version
BenchmarkComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,OnInit_OnParam,418,Version0
BenchmarkComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,OnParam_OnAfterRender,487,Version0
BenchmarkComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,SetParam,415,Version0
BenchmarkComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,SetParam_OnInit,417,Version0
VersionComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,FINISH,481,Version0
VersionComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,GenerateOrders,364,Version0
VersionComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,OnInit_OnParam,400,Version0
VersionComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,OnParam_OnAfterRender,465,Version0
VersionComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,PopulateChartOrderState,11,Version0
VersionComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,SetParam,8,Version0
VersionComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,SetParam_OnInit,21,Version0
VersionComponent,5570ca2f-a2ae-4c32-b6ba-3bcf309f3dbb,VisualizeOrderStatusSuccess,15,Version0
BenchmarkComponent,57c75662-05b6-47a4-ac39-066547be67bf,FINISH,486,Version0
BenchmarkComponent,57c75662-05b6-47a4-ac39-066547be67bf,OnInit_OnParam,419,Version0
BenchmarkComponent,57c75662-05b6-47a4-ac39-066547be67bf,OnParam_OnAfterRender,486,Version0
BenchmarkComponent,57c75662-05b6-47a4-ac39-066547be67bf,SetParam,415,Version0
BenchmarkComponent,57c75662-05b6-47a4-ac39-066547be67bf,SetParam_OnInit,418,Version0
VersionComponent,57c75662-05b6-47a4-ac39-066547be67bf,FINISH,480,Version0
VersionComponent,57c75662-05b6-47a4-ac39-066547be67bf,GenerateOrders,363,Version0
VersionComponent,57c75662-05b6-47a4-ac39-066547be67bf,OnInit_OnParam,401,Version0
VersionComponent,57c75662-05b6-47a4-ac39-066547be67bf,OnParam_OnAfterRender,464,Version0
VersionComponent,57c75662-05b6-47a4-ac39-066547be67bf,PopulateChartOrderState,11,Version0
VersionComponent,57c75662-05b6-47a4-ac39-066547be67bf,SetParam,9,Version0
VersionComponent,57c75662-05b6-47a4-ac39-066547be67bf,SetParam_OnInit,24,Version0
VersionComponent,57c75662-05b6-47a4-ac39-066547be67bf,VisualizeOrderStatusSuccess,15,Version0
